Function, Run, Filter, Thread, Time
serialFilterFirst, 8, 64, 1, 7.263181
serialDataFirst, 8, 128, 1, 13.005008
serialFilterFirst, 8, 128, 1, 14.500892
serialDataFirst, 8, 256, 1, 25.727045
serialFilterFirst, 8, 256, 1, 28.989559
parallelDataFirst, 8, 256, 1, 25.998653
parallelFilterFirst, 8, 256, 1, 29.410393
parallelDataFirst, 8, 256, 2, 13.336044
parallelFilterFirst, 8, 256, 2, 15.072743
parallelDataFirst, 8, 256, 4, 6.751636
parallelFilterFirst, 8, 256, 4, 7.659438
parallelDataFirst, 8, 256, 8, 3.412926
parallelFilterFirst, 8, 256, 8, 3.858645
parallelDataFirst, 8, 256, 16, 2.866542
parallelFilterFirst, 8, 256, 16, 2.812537
parallelDataFirstUnrolledFilter, 8, 256, 8, 2.802194
parallelFilterFirstUnrolledFilter, 8, 256, 8, 3.993554
parallelDataFirstUnrolledData, 8, 256, 8, 3.363464
parallelFilterFirstUnrolledData, 8, 256, 8, 2.617162
serialDataFirst, 9, 1, 1, 0.151017
serialFilterFirst, 9, 1, 1, 0.140950
serialDataFirst, 9, 2, 1, 0.226473
serialFilterFirst, 9, 2, 1, 0.235747
serialDataFirst, 9, 4, 1, 0.383169
serialFilterFirst, 9, 4, 1, 0.461577
serialDataFirst, 9, 8, 1, 0.755339
serialFilterFirst, 9, 8, 1, 0.913860
serialDataFirst, 9, 16, 1, 1.529374
serialFilterFirst, 9, 16, 1, 1.824668
serialDataFirst, 9, 32, 1, 3.104254
serialFilterFirst, 9, 32, 1, 3.639814
serialDataFirst, 9, 64, 1, 6.728843
serialFilterFirst, 9, 64, 1, 7.263745
serialDataFirst, 9, 128, 1, 13.115430
serialFilterFirst, 9, 128, 1, 14.480043
serialDataFirst, 9, 256, 1, 25.714980
serialFilterFirst, 9, 256, 1, 29.149113
parallelDataFirst, 9, 256, 1, 26.017897
parallelFilterFirst, 9, 256, 1, 29.445778
parallelDataFirst, 9, 256, 2, 13.269934
parallelFilterFirst, 9, 256, 2, 15.079677
parallelDataFirst, 9, 256, 4, 6.790167
parallelFilterFirst, 9, 256, 4, 7.671361
parallelDataFirst, 9, 256, 8, 3.406726
parallelFilterFirst, 9, 256, 8, 3.844467
parallelDataFirst, 9, 256, 16, 2.688990
parallelFilterFirst, 9, 256, 16, 2.807394
parallelDataFirstUnrolledFilter, 9, 256, 8, 2.349234
parallelFilterFirstUnrolledFilter, 9, 256, 8, 4.017456
parallelDataFirstUnrolledData, 9, 256, 8, 3.373260
parallelFilterFirstUnrolledData, 9, 256, 8, 2.180349
